"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"367",89326463,"Beds",2111,TRUE,"No",40,43,140
"368",39277894,"Sofas & armchairs",3388,TRUE,"Yes",93,84,273
"369",29286894,"Wardrobes",1600,TRUE,"Yes",60,201,100
"370",9276971,"Chairs",1468,TRUE,"Yes",93,84,113
"371",80308699,"Nursery furniture",55,TRUE,"No",NA,NA,30
"372",19254780,"Sofas & armchairs",1795,TRUE,"Yes",98,104,177
"373",19282962,"Sofas & armchairs",1990,TRUE,"No",151,83,186
"374",69291407,"TV & media furniture",2187,TRUE,"No",42,241,320
"375",10269696,"Children's furniture",1095,TRUE,"No",50,171,80
"376",20347514,"TV & media furniture",35,TRUE,"Yes",30,NA,17
"377",40280843,"Chairs",260,TRUE,"No",51,83,47
"378",70370352,"TV & media furniture",29,TRUE,"No",18,NA,NA
"379",39306288,"Chairs",589,TRUE,"No",NA,75,74
"380",90091454,"Children's furniture",30,TRUE,"No",NA,NA,30
"381",39297118,"Chairs",2075,TRUE,"No",NA,NA,78
"382",69017475,"Room dividers",895,TRUE,"Yes",39,147,147
"383",99096013,"Wardrobes",2415,TRUE,"No",60,236,200
"384",10460888,"Wardrobes",495,TRUE,"No",50,187,80
"385",39127710,"Wardrobes",875,TRUE,"Yes",60,236,100
"386",9276650,"Cabinets & cupboards",980,TRUE,"Yes",42,74,120
"387",50304075,"Sofas & armchairs",280,TRUE,"Yes",NA,NA,NA
"388",59201841,"Bookcases & shelving units",290,TRUE,"No",36,181,92
"389",99286838,"Bookcases & shelving units",1719,TRUE,"Yes",40,220,210
"390",79297300,"Chairs",4675,TRUE,"No",NA,NA,85
"391",40419958,"Bookcases & shelving units",70,TRUE,"Yes",51,70,50
"392",70441566,"TV & media furniture",225,TRUE,"No",NA,64,60
"393",40160478,"Outdoor furniture",149,TRUE,"No",60,82,56
"394",49297491,"Chests of drawers & drawer units",195,TRUE,"No",51,73,50
"395",9025765,"Wardrobes",2125,TRUE,"No",44,236,150
"396",30160209,"Beds",100,TRUE,"Yes",NA,4,80
"397",10288628,"Chairs",95,TRUE,"No",50,45,52
"398",19289548,"Sofas & armchairs",995,TRUE,"Yes",97,95,71
